Group,Region,Subregion,Name,SciName,Stock,start.yr,end.yr,btype,MaxCatch,LastCatch,MSY_BSM,lcl,ucl,r_BSM,lcl,ucl,k_BSM,lcl,ucl,q_BSM,lcl,ucl,rel_B_BSM,lcl,ucl,rel_F_BSM,r_CMSY,lcl,ucl,k_CMSY,lcl,ucl,MSY_CMSY,lcl,ucl,rel_B_CMSY,2.5th,97.5th,rel_F_CMSY,F_msy,lcl,ucl,curF_msy,lcl,ucl,MSY,lcl,ucl,Bmsy,lcl,ucl,B,lcl,ucl,B_Bmsy,lcl,ucl,F,lcl,ucl,F_Fmsy,lcl,ucl,sel_B,sel_B_Bmsy,sel_F,sel_F_Fmsy,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,F.Fmsy50,F.Fmsy51,F.Fmsy52,F.Fmsy53,F.Fmsy54,F.Fmsy55,F.Fmsy56,F.Fmsy57,F.Fmsy58,F.Fmsy59,F.Fmsy60,F.Fmsy61,F.Fmsy62,F.Fmsy63,F.Fmsy64,F.Fmsy65,F.Fmsy66,F.Fmsy67,F.Fmsy68,F.Fmsy69,F.Fmsy70,F.Fmsy71,F.Fmsy72,F.Fmsy73,F.Fmsy74,F.Fmsy75,F.Fmsy76,F.Fmsy77,F.Fmsy78,F.Fmsy79,F.Fmsy80,F.Fmsy81,F.Fmsy82,F.Fmsy83,F.Fmsy84,F.Fmsy85,F.Fmsy86,F.Fmsy87,F.Fmsy88,F.Fmsy89,F.Fmsy90,F.Fmsy91,F.Fmsy92,F.Fmsy93,F.Fmsy94,F.Fmsy95,F.Fmsy96,F.Fmsy97,F.Fmsy98,F.Fmsy99,F.Fmsy00,F.Fmsy01,F.Fmsy02,F.Fmsy03,F.Fmsy04,F.Fmsy05,F.Fmsy06,F.Fmsy07,F.Fmsy08,F.Fmsy09,F.Fmsy10,F.Fmsy11,F.Fmsy12,F.Fmsy13,F.Fmsy14,F.Fmsy15,F.Fmsy16,F.Fmsy17,F.Fmsy18,F.Fmsy19,F.Fmsy20,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,B99,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
Plankton feeders,Mediterranean,Aegean Sea,Bogue in Aegean Sea,Boops boops,BOOPBOO_AL,1982,2014,CPUE,16.362,4.387,8.555299931,7.463079782,9.807366268,0.584803865,0.423536787,0.807475457,58.51739662,43.80402532,78.17285472,0.164860613,0.125351549,0.216822385,0.215003815,0.093597271,0.348861166,1.192494084,0.544710946,0.356783901,0.831623886,63.5504282,45.84251625,88.09850014,8.65415346,6.938292452,10.79435216,0.153841779,0.015564483,0.294309468,1.647550563,0.292401933,0.211768393,0.403737729,0.251470124,0.18212405,0.347220608,8.555299931,7.463079782,9.807366268,29.25869831,21.90201266,39.08642736,12.58146351,5.477068651,20.4144472,0.43000763,0.187194543,0.697722331,0.348687575,0.214896831,0.800975901,1.386596424,0.854562073,3.185173207,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.932,6.937,5.336,7.772,8.661,8.972,8.256,9.864,7.582,9.55,9.875,13.787,16.362,7.625,8.812,7.427,5.498,4.13,4.514,3.529,3.679,4.172,4.121,5.676,6.386,6.193,5.028,5.551,4.774,4.094,3.437,3.963,4.387,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964602073,0.91046134,0.661010903,0.890727107,0.934027165,0.932320164,0.862076139,1.037926928,0.816909505,1.033408497,1.089355189,1.55176172,2.021182036,1.135971332,1.61823174,1.672931344,1.42438703,1.318793084,1.642039281,1.362224859,1.40716262,1.526609529,1.364879527,1.689527496,1.755572674,1.658596871,1.423003723,1.689006925,1.576247619,1.437048572,1.266998949,1.401069475,1.386596424,NA,NA,NA,NA,NA,NA,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,24.57707102,26.057332,27.60749228,29.84062289,31.71234026,32.91121752,32.75245214,32.50169762,31.74165684,31.60465871,31.00183203,30.38536815,27.68539473,22.95578972,18.62316687,15.18291173,13.89667004,12.51725439,11.72766062,11.38475822,11.4370793,11.69312383,12.29069753,12.96465441,13.49048099,13.66792234,13.29587733,12.82307794,12.30981054,11.9387973,11.64994894,11.89609938,12.58146351,NA,NA,NA,NA,NA,NA
Plankton feeders,Mediterranean,Aegean Sea,Bogue in Aegean Sea,Boops boops,BOOPBOO_AL,1982,2014,CPUE,16.362,4.387,8.555299931,7.463079782,9.807366268,0.584803865,0.423536787,0.807475457,58.51739662,43.80402532,78.17285472,0.164860613,0.125351549,0.216822385,0.215003815,0.093597271,0.348861166,1.192494084,0.544710946,0.356783901,0.831623886,63.5504282,45.84251625,88.09850014,8.65415346,6.938292452,10.79435216,0.153841779,0.015564483,0.294309468,1.647550563,0.292401933,0.211768393,0.403737729,0.251470124,0.18212405,0.347220608,8.555299931,7.463079782,9.807366268,29.25869831,21.90201266,39.08642736,12.58146351,5.477068651,20.4144472,0.43000763,0.187194543,0.697722331,0.348687575,0.214896831,0.800975901,1.386596424,0.854562073,3.185173207,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.932,6.937,5.336,7.772,8.661,8.972,8.256,9.864,7.582,9.55,9.875,13.787,16.362,7.625,8.812,7.427,5.498,4.13,4.514,3.529,3.679,4.172,4.121,5.676,6.386,6.193,5.028,5.551,4.774,4.094,3.437,3.963,4.387,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964602073,0.91046134,0.661010903,0.890727107,0.934027165,0.932320164,0.862076139,1.037926928,0.816909505,1.033408497,1.089355189,1.55176172,2.021182036,1.135971332,1.61823174,1.672931344,1.42438703,1.318793084,1.642039281,1.362224859,1.40716262,1.526609529,1.364879527,1.689527496,1.755572674,1.658596871,1.423003723,1.689006925,1.576247619,1.437048572,1.266998949,1.401069475,1.386596424,NA,NA,NA,NA,NA,NA,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,58.51739662,24.57707102,26.057332,27.60749228,29.84062289,31.71234026,32.91121752,32.75245214,32.50169762,31.74165684,31.60465871,31.00183203,30.38536815,27.68539473,22.95578972,18.62316687,15.18291173,13.89667004,12.51725439,11.72766062,11.38475822,11.4370793,11.69312383,12.29069753,12.96465441,13.49048099,13.66792234,13.29587733,12.82307794,12.30981054,11.9387973,11.64994894,11.89609938,12.58146351,NA,NA,NA,NA,NA,NA
