Group,Region,Subregion,Name,SciName,Stock,start.yr,end.yr,btype,MaxCatch,LastCatch,MSY_BSM,lcl,ucl,r_BSM,lcl,ucl,k_BSM,lcl,ucl,q_BSM,lcl,ucl,rel_B_BSM,lcl,ucl,rel_F_BSM,r_CMSY,lcl,ucl,k_CMSY,lcl,ucl,MSY_CMSY,lcl,ucl,rel_B_CMSY,2.5th,97.5th,rel_F_CMSY,F_msy,lcl,ucl,curF_msy,lcl,ucl,MSY,lcl,ucl,Bmsy,lcl,ucl,B,lcl,ucl,B_Bmsy,lcl,ucl,F,lcl,ucl,F_Fmsy,lcl,ucl,sel_B,sel_B_Bmsy,sel_F,sel_F_Fmsy,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,F.Fmsy00,F.Fmsy01,F.Fmsy02,F.Fmsy03,F.Fmsy04,F.Fmsy05,F.Fmsy06,F.Fmsy07,F.Fmsy08,F.Fmsy09,F.Fmsy10,F.Fmsy11,F.Fmsy12,F.Fmsy13,F.Fmsy14,F.Fmsy15,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15
NA,Adriatic Sea,Adriatic Sea,Caramote prawn,Penaeus kerathurus,Pena_ker_AD,1972,2015,CPUE,0.69049596,0.52833015,0.477764728,0.400284838,0.570241772,1.063646,0.741232951,1.526298596,1.796705777,1.364433548,2.365928083,0.006390307,0.004946138,0.008256145,0.614406451,0.443266793,0.805432767,0.899923409,1.274431249,1.092124629,1.487170022,1.474630456,1.115840008,1.94878743,0.469828783,0.368151846,0.599587067,0.647839598,0.507548518,0.855752876,0.867897205,0.531823,0.370616476,0.763149298,0.531823,0.370616476,0.763149298,0.477764728,0.400284838,0.570241772,0.898352888,0.682216774,1.182964042,1.103907619,0.796420008,1.447125706,1.228812901,0.886533586,1.610865535,0.478599967,0.365089327,0.663381313,0.899923409,0.686486532,1.247372364,NA,NA,NA,NA,0.191736999,0.319100841,0.14613723,0.163232398,0.16796548,0.17900295,0.31793161,0.69049596,0.50168791,0.51524323,0.55032224,0.54588176,0.32405012,0.38616318,0.37719005,0.52833015,0.22303628,0.372490107,0.176850433,0.19739915,0.202413359,0.211030405,0.374124396,0.847422066,0.717999675,0.810776681,0.978037669,1.021577435,0.648874174,0.77257072,0.713672647,0.899923409,1.616453804,1.610816581,1.553773204,1.554869586,1.560320259,1.594953553,1.597903564,1.532125207,1.313839371,1.194934029,1.058021192,1.004755,0.939041059,0.939865054,0.993788714,1.103907619
NA,Adriatic Sea,Adriatic Sea,Great Mediterranean scallop,Aequipecten opercularis,Aequ_ope_AD,2004,2015,CPUE,805.73912,217.35794,455.3460395,376.6411385,550.497528,0.528178179,0.366159277,0.761887535,3448.427501,2681.994036,4433.884667,4.22E-10,3.27E-10,5.45E-10,0.268200215,0.107791893,0.422176886,0.889907421,0.565525439,0.407485471,0.784859938,3339.874647,2114.752592,5274.736485,472.1960187,366.5273402,608.3286447,0.290873981,0.028797477,0.394873347,0.791258373,0.264089089,0.183079638,0.380943768,0.264089089,0.183079638,0.380943768,455.3460395,376.6411385,550.497528,1724.213751,1340.997018,2216.942333,924.8689974,371.712527,1455.846386,0.53640043,0.215583785,0.844353773,0.235014841,0.149300051,0.584747417,0.889907421,0.565339717,2.214205131,NA,NA,NA,NA,NA,NA,NA,NA,805.73912,754.36693,756.85671,640.34147,250.04766,336.1268,293.08303,247.4184,618.10729,281.50172,246.42184,217.35794,NA,NA,NA,NA,1.264340007,1.423819666,1.71326252,1.790601873,0.88781389,1.390347646,1.273568279,1.009428473,2.329066856,1.093236025,0.988157863,0.889907421,NA,NA,NA,NA,2413.12662,2006.213715,1672.78179,1354.135535,1066.474315,915.4387163,871.4008519,928.1239597,1004.919911,975.0270383,944.2835109,924.8689974
NA,Adriatic Sea,Adriatic Sea,Purple dye murex,Bolinus brandaris,Boli_bra_AD,2004,2015,CPUE,1.46093,0.90031,1.013833115,0.843092002,1.219152338,1.30480949,0.919492704,1.851594688,3.107988169,2.500635617,3.862854065,0.04155998,0.032045495,0.053899368,0.453737596,0.353976882,0.602673511,0.978567617,1.191246217,0.957432554,1.482159284,3.545071984,2.398676767,5.23936178,1.055763397,0.753419801,1.479435965,0.466706068,0.215796676,0.596176789,0.913591457,0.652404745,0.459746352,0.925797344,0.652404745,0.459746352,0.925797344,1.013833115,0.843092002,1.219152338,1.553994085,1.250317809,1.931427032,1.410211081,1.100155962,1.873102141,0.907475192,0.707953764,1.205347022,0.638422157,0.480651845,0.818347608,0.978567617,0.736738732,1.254355696,NA,NA,NA,NA,NA,NA,NA,NA,1.23096,0.9591,0.48267,0.58317,0.54652,0.54662,0.97178,1.46093,1.10614,1.31915,1.19881,0.90031,NA,NA,NA,NA,0.716294141,0.784547598,0.429038464,0.497656064,0.401448984,0.345428907,0.590628039,0.920543047,0.791014569,1.081571217,1.158474445,0.978567617,NA,NA,NA,NA,2.634119241,1.873818328,1.724395838,1.796175479,2.086693126,2.425547189,2.521951817,2.432585951,2.143426047,1.869484848,1.586159248,1.410211081
NA,Adriatic Sea,Adriatic Sea,Mantis shrimp,Squilla mantis,Squi_man_AD,1972,2015,CPUE,5.01339865,3.39797142,4.159352663,3.772174119,4.586271478,1.143199109,0.827609717,1.57913105,14.55337966,11.0594731,19.15108048,0.002006394,0.001567333,0.00256845,0.666921746,0.4696789,0.820452775,0.612476038,1.24919582,1.050351636,1.485683595,13.59037877,10.16302177,18.17357075,4.244261087,3.372972567,5.340616272,0.723127766,0.517681297,0.877003459,0.553570065,0.571599554,0.413804859,0.789565525,0.571599554,0.413804859,0.789565525,4.159352663,3.772174119,4.586271478,7.276689828,5.52973655,9.575540241,9.705965375,6.835415351,11.94036073,1.333843493,0.9393578,1.640905551,0.35009103,0.284578623,0.497112647,0.612476038,0.49786362,0.869686905,NA,NA,NA,NA,1.9031,3.959590703,4.792442507,3.723228908,5.01339865,3.98747581,4.21108611,4.57734565,4.07305266,4.58024125,4.6734257,3.87937803,3.15013215,2.26034632,2.95774941,3.39797142,0.253362136,0.535097479,0.704392638,0.623480634,0.911896043,0.795254294,0.873530064,0.997425427,0.901592864,1.026864369,1.078168435,0.927135286,0.77441292,0.535775218,0.612304257,0.612476038,13.14098793,12.94569913,11.90282975,10.44731978,9.618227093,8.772030984,8.433821092,8.028629038,7.903467616,7.803391343,7.583275742,7.320270172,7.116464738,7.380749774,8.450885473,9.705965375
NA,Adriatic Sea,Adriatic Sea,Caramote prawn,Penaeus kerathurus,Pena_ker_AD,2004,2015,CPUE,0.69049596,0.52833015,0.501210542,0.411864414,0.609938608,1.006347017,0.708865825,1.428668561,1.992197656,1.492790678,2.658679183,0.006114945,0.004746642,0.007877685,0.647553495,0.458447984,0.846269502,0.813915934,1.191246217,0.957432554,1.482159284,2.417794961,1.414595491,4.132441048,0.720047275,0.386446214,1.341630633,0.83386241,0.542547595,0.897528589,0.439966887,0.503173508,0.354432912,0.714334281,0.503173508,0.354432912,0.714334281,0.501210542,0.411864414,0.609938608,0.996098828,0.746395339,1.329339592,1.290054555,0.913319,1.685936117,1.29510699,0.916895969,1.692539003,0.409540936,0.313374952,0.578472746,0.813915934,0.622797001,1.149648654,NA,NA,NA,NA,NA,NA,NA,NA,0.16796548,0.17900295,0.31793161,0.69049596,0.50168791,0.51524323,0.55032224,0.54588176,0.32405012,0.38616318,0.37719005,0.52833015,NA,NA,NA,NA,0.53690354,0.415105862,0.54770802,0.994910798,0.717573624,0.786677147,0.92728781,0.947212788,0.590667203,0.696886054,0.640357519,0.813915934,NA,NA,NA,NA,0.621735979,0.857005391,1.153630796,1.379301567,1.389470724,1.301661297,1.179464152,1.145336926,1.090313932,1.101263691,1.1706308,1.290054555
NA,Adriatic Sea,Adriatic Sea,Brill,Scophthalmus rhombus,Scop_rho_AD,1972,2015,CPUE,0.31731569,0.06499453,0.1392235,0.119873533,0.161696937,0.40870601,0.26473071,0.630983094,1.362578451,0.966606814,1.920760341,0.017905197,0.013338851,0.02403476,0.088563671,0.031126961,0.19522746,2.635594867,0.3809832,0.285361067,0.508647519,1.437650043,1.123805548,1.839141701,0.136930128,0.126099855,0.148690576,0.093915917,0.011431138,0.194875984,2.527019513,0.204353005,0.132365355,0.315491547,0.072393009,0.046891047,0.111764358,0.1392235,0.119873533,0.161696937,0.681289225,0.483303407,0.960380171,0.12067495,0.042412926,0.26601273,0.177127342,0.062253922,0.39045492,0.538591731,0.244328646,1.532422686,7.439830677,3.375030936,21.16810315,NA,NA,NA,NA,0.051127926,0.051629181,0.051378553,0.051632508,0.05213709,0.04418879,0.0385745,0.04067667,0.02497607,0.03456167,0.03574151,0.04974403,0.06103826,0.04949913,0.06886792,0.06499453,1.705519783,1.773611545,1.807950461,1.879286041,1.99607335,1.82541948,1.744131589,1.981506722,1.296817429,1.79405478,1.804038324,2.34603436,2.929663248,2.682378063,4.757949806,7.439830677,0.223542939,0.220281797,0.217649624,0.214005737,0.208662975,0.200879197,0.192008643,0.184984427,0.179177256,0.179200723,0.181728824,0.188002467,0.1863599,0.175387661,0.155331238,0.12067495
NA,Adriatic Sea,Adriatic Sea,Common sole,Solea solea,Sole_sol_AD,1972,2015,CPUE,2890,2150.97249,1846.788482,1608.056663,2120.962385,0.647458383,0.456428953,0.918439452,11409.46526,8305.814964,15672.86269,8.53E-06,6.51E-06,1.12E-05,0.551582605,0.320965651,0.702150738,1.055789021,0.552943197,0.39209544,0.779774893,12654.69386,8828.534397,18139.05565,1749.331721,1619.280711,1889.827656,0.427906268,0.226074018,0.586511811,1.43675938,0.323729192,0.228214477,0.459219726,0.323729192,0.228214477,0.459219726,1846.788482,1608.056663,2120.962385,5704.732628,4152.907482,7836.431343,6293.26257,3662.046444,8011.164454,1.10316521,0.641931302,1.404301477,0.341789726,0.268496859,0.587368982,1.055789021,0.829387234,1.814383741,NA,NA,NA,NA,1036,1104,1075,2107,1822,1994,2022,1588,1325,1954,1614,1589,1859,1253,2048,2150.97249,0.922359148,0.915952207,0.817996957,1.441820753,1.208281406,1.338048097,1.408638765,1.139933108,1.008190635,1.480072715,1.172522289,1.086561977,1.153546539,0.698297317,1.0074336,1.055789021,3469.58741,3723.183123,4059.522133,4514.102339,4657.988563,4603.324245,4434.040471,4303.177576,4059.675834,4078.116652,4252.071518,4517.38943,4978.086134,5542.795234,6279.595335,6293.26257
NA,Adriatic Sea,Adriatic Sea,Common cuttlefish,Sepia officinalis,Sepi_off_AD,1972,2015,CPUE,9381,3411,4869.72406,4515.263356,5252.010912,0.99901514,0.849014545,1.175517257,19498.09914,17117.87993,22209.28478,6.43E-06,5.01E-06,8.26E-06,0.453662827,0.233817013,0.59485788,0.771994446,1.191246217,0.957432554,1.482159284,17015.52525,12845.97105,22538.43625,5067.42002,4482.33336,5728.879046,0.388845477,0.112735735,0.496360789,0.865541247,0.49950757,0.424507273,0.587758628,0.49950757,0.424507273,0.587758628,4869.72406,4515.263356,5252.010912,9749.049572,8558.939967,11104.64239,8845.562788,4558.987295,11598.59792,0.907325655,0.467634025,1.18971576,0.385617069,0.29408727,0.748192478,0.771994446,0.588754381,1.497860138,NA,NA,NA,NA,2263,7753.55,3346.84,4248.02,4514,4424,5488,9381,6395,5801,3493,2442,2694,3151,3313,3411,0.272931647,0.928365027,0.44870856,0.611174571,0.711669333,0.682984047,0.844848193,1.481988664,1.184306516,1.341525979,1.112367836,0.928497109,1.041484504,1.041430067,0.896722396,0.771994446,16599.25449,16720.13372,14932.36241,13914.87156,12698.17268,12967.68595,13004.49072,12672.49651,10810.21561,8656.886111,6286.487968,5265.298893,5178.484786,6057.260023,7396.416271,8845.562788
NA,Adriatic Sea,Adriatic Sea,Scallop,Pecten jacobeus,Pect_jac_AD,1972,2015,CPUE,1837.376181,49.8,1060.307956,959.6695271,1171.500116,0.766039344,0.635192855,0.923839542,5536.571793,4731.559516,6478.546263,2.06E-05,1.53E-05,2.76E-05,0.0321701,0.015035951,0.125734217,0.729986657,0.778800783,0.692463327,0.875902934,5515.14036,4766.169014,6381.807506,1073.798908,927.5416197,1243.118443,0.095691558,0.025646702,0.196395681,0.242327534,0.383019672,0.317596428,0.461919771,0.049287124,0.040868435,0.05944002,1060.307956,959.6695271,1171.500116,2768.285897,2365.779758,3239.273132,178.1120658,83.24762435,696.1365169,0.064340199,0.030071903,0.251468433,0.27959925,0.071537692,0.598215269,5.67286601,1.451447898,12.13735397,NA,NA,NA,NA,271.5286629,192.2663678,113.7713015,139.974402,193.98862,102.99154,118.6548,77.02341,74.90821,163.59996,98.77196,81.89283,88.67406,91.81151,77.3499,49.8,1.644228219,1.786272958,1.321764611,1.884389979,2.767665133,1.606346018,2.085832621,1.579730807,1.591088508,3.501757691,2.303704919,2.257333904,3.20856659,4.243534377,5.066804428,5.67286601,772.5146497,623.6740602,557.7238742,518.1062718,503.2818722,481.3502012,453.4014038,419.7587514,412.4748492,410.8927545,393.625607,362.0803611,316.0259171,279.6176844,234.8782161,178.1120658
